account_id;client_id;product_code;product_name;opened_at;closed_at;status
A1000001;C101987;DC;Дебетовая карта «Синица»;2025-10-22;;active
A1000002;C101987;DC;Дебетовая карта «Синица»;2024-01-05;;active
A1000003;C101987;SV;Накопительный счёт «Копилка»;2025-07-14;2025-05-14;closed
A1000004;C110412;DC;Дебетовая карта «Синица»;2024-06-25;;active
A1000005;C103883;DC;Дебетовая карта «Синица»;2024-06-08;;active
A1000006;C100107;DC;Дебетовая карта «Синица»;2025-01-15;;active
A1000007;C101228;DC;Дебетовая карта «Синица»;2025-12-09;;active
A1000008;C101228;DC;Дебетовая карта «Синица»;2026-12-25;;active
A1000009;C101228;CC;Кредитная карта «Синица»;2026-09-17;;active
A1000010;C109963;DC;Дебетовая карта «Синица»;2025-06-11;;active
A1000011;C107677;DC;Дебетовая карта «Синица»;2025-09-07;;active
A1000012;C104825;DC;Дебетовая карта «Синица»;2025-12-19;;active
A1000013;C104825;CC;Кредитная карта «Синица»;2025-03-12;2025-09-08;closed
A1000014;C107885;DC;Дебетовая карта «Синица»;2025-08-02;;active
A1000015;C104107;DC;Дебетовая карта «Синица»;2024-06-13;;active
A1000016;C104107;DC;Дебетовая карта «Синица»;2024-06-13;;active
A1000017;C104107;DEP;Вклад «Гнездо»;2024-06-13;;active
A1000018;C100432;DC;Дебетовая карта «Синица»;2025-10-07;;active
A1000019;C100432;DC;Дебетовая карта «Синица»;2025-10-07;2026-07-18;closed
A1000020;C109365;DC;Дебетовая карта «Синица»;2026-08-23;;active
A1000021;C103151;DC;Дебетовая карта «Синица»;2022-08-20;;active
A1000022;C103151;CC;Кредитная карта «Синица»;2022-10-27;;active
A1000023;C107177;DC;Дебетовая карта «Синица»;2025-05-08;;active
A1000024;C107177;DC;Дебетовая карта «Синица»;2025-09-21;;active
A1000025;C107177;DEP;Вклад «Гнездо»;2025-05-08;;active
A1000026;C100454;DC;Дебетовая карта «Синица»;2026-01-02;;active
A1000027;C100454;DC;Дебетовая карта «Синица»;2023-11-27;;active
A1000028;C107624;DC;Дебетовая карта «Синица»;2024-12-13;;active
A1000029;C107624;SV;Накопительный счёт «Копилка»;2024-12-13;;active
A1000030;C109419;DC;Дебетовая карта «Синица»;2023-08-16;;active
A1000031;C109419;CC;Кредитная карта «Синица»;2026-04-16;;active
A1000032;C103084;DC;Дебетовая карта «Синица»;2025-11-23;;active
A1000033;C104231;DC;Дебетовая карта «Синица»;2024-12-12;;active
A1000034;C110262;DC;Дебетовая карта «Синица»;2023-04-02;;active
A1000035;C102928;DC;Дебетовая карта «Синица»;2025-12-08;;active
A1000036;C104591;DC;Дебетовая карта «Синица»;2026-04-14;;active
A1000037;C104591;DC;Дебетовая карта «Синица»;2024-05-25;;active
A1000038;C110952;DC;Дебетовая карта «Синица»;2024-01-17;;active
A1000039;C100618;DC;Дебетовая карта «Синица»;2025-08-26;;active
A1000040;C108888;DC;Дебетовая карта «Синица»;2023-07-21;;active
A1000041;C101906;DC;Дебетовая карта «Синица»;2023-04-16;;active
A1000042;C101906;DEP;Вклад «Гнездо»;2025-03-24;;active
A1000043;C108755;DC;Дебетовая карта «Синица»;2025-01-20;;active
A1000044;C108755;DC;Дебетовая карта «Синица»;2021-09-25;;active
A1000045;C108755;DC;Дебетовая карта «Синица»;2024-08-26;;active
A1000046;C103072;DC;Дебетовая карта «Синица»;2026-04-20;;active
A1000047;C100903;DC;Дебетовая карта «Синица»;2026-04-21;;active
A1000048;C100903;DEP;Вклад «Гнездо»;2024-12-20;;active
A1000049;C104345;DC;Дебетовая карта «Синица»;2025-07-13;;active
A1000050;C110549;DC;Дебетовая карта «Синица»;2023-12-21;2026-06-25;closed
