mcc,description,category
4112,Железнодорожные перевозки,Путешествия
4121,Такси,Транспорт
4511,Авиаперевозки,Путешествия
4722,Турагентства,Путешествия
4814,Связь и телеком,Связь
4829,Денежные переводы,Переводы
4900,Коммунальные услуги,ЖКХ
5309,Магазины duty free,Путешествия
5311,Универмаги,Покупки
5399,Маркетплейсы и универсальные магазины,Покупки
5411,Супермаркеты,Продукты
5541,АЗС,Топливо
5651,Одежда,Покупки
5732,Электроника,Покупки
5812,Рестораны и кафе,Рестораны
5814,Фастфуд,Рестораны
5816,Цифровые товары и игры,Цифровые сервисы
5912,Аптеки,Здоровье
5921,Алкогольные магазины,Продукты
5941,Спорттовары,Покупки
5942,Книжные магазины,Покупки
5977,Косметика и парфюмерия,Покупки
5999,Специализированная розница,Покупки
6011,Снятие наличных,Наличные
7011,Отели,Путешествия
