city,region,federal_district
Москва,Москва,ЦФО
Санкт-Петербург,Санкт-Петербург,СЗФО
Новосибирск,Новосибирская область,СФО
Екатеринбург,Свердловская область,УФО
Казань,Республика Татарстан,ПФО
Нижний Новгород,Нижегородская область,ПФО
Краснодар,Краснодарский край,ЮФО
Самара,Самарская область,ПФО
Уфа,Республика Башкортостан,ПФО
Ростов-на-Дону,Ростовская область,ЮФО
Красноярск,Красноярский край,СФО
Пермь,Пермский край,ПФО
Воронеж,Воронежская область,ЦФО
Волгоград,Волгоградская область,ЮФО
Тюмень,Тюменская область,УФО
Саратов,Саратовская область,ПФО
Ижевск,Удмуртская Республика,ПФО
Барнаул,Алтайский край,СФО
Иркутск,Иркутская область,СФО
Хабаровск,Хабаровский край,ДФО
Владивосток,Приморский край,ДФО
Калининград,Калининградская область,СЗФО
Сочи,Краснодарский край,ЮФО
Ставрополь,Ставропольский край,СКФО
